Image,Folder,Person,Dominant Emotion,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral,Face X,Face Y,Face Width,Face Height,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Face Confidence
2498965_321.jpg,NOS_t1,Geert Wilders,fear,10.54743006825447,0.000870023086463334,88.48452568054199,0.8213460445404053,0.1434026169590652,1.007943506436959e-06,0.0024236596800619736,6,0,87,110,50,43,25,60,1.0
2498965_323.jpg,NOS_t1,Geert Wilders,sad,0.0023908715653521376,1.0319082898720867e-09,19.757037489767374,0.003460977628822311,73.06473576250842,5.095620242270219e-05,7.1723176929572,13,0,60,74,47,26,22,37,0.99
2498997_310.jpg,NOS_t1,Geert Wilders,sad,2.375068843368819,6.42953106886648e-06,0.8650585593318081,0.001603259174836415,60.69131259270385,2.1873013505200846e-05,36.066927675421695,0,0,71,82,56,29,27,34,1.0
2499006_304.jpg,NOS_t1,Geert Wilders,angry,79.2288601398468,3.6918621510267258,4.612818360328674,0.08527730242349207,4.31135855615139,0.33336335327476263,7.736459374427795,31,5,195,261,180,111,95,113,1.0
2499072_286.jpg,NOS_t1,Geert Wilders,fear,4.396513476967812,0.0024481732907588594,81.00332021713257,2.4491072281307424e-05,14.516405761241913,0.00013497248119165306,0.0811518111731857,29,0,104,133,91,45,45,41,1.0
2499139_257.jpg,NOS_t1,Geert Wilders,angry,45.05848288536072,2.9281996190547943,13.589145243167877,0.03786580928135663,23.452425003051758,0.026505443383939564,14.907370507717133,31,4,203,278,185,115,101,116,1.0
2499288_222.jpg,NOS_t1,Geert Wilders,sad,1.5693902961146478,2.309521400808454e-05,2.8828528067049017,0.09253781233463439,78.60476629677221,0.0001234501804166375,16.85030408498,28,0,102,130,87,45,43,41,1.0
2499411_199.jpg,NOS_t1,Geert Wilders,happy,0.026640495476305214,3.6608002368795534e-05,0.437868272907631,99.53251478269785,5.0406518588207836e-05,0.0005953610880329364,0.002296185403322676,19,2,100,119,87,47,41,50,1.0
2499598_122.jpg,NOS_t1,Geert Wilders,sad,0.2767097069126018,4.001944530990811e-08,0.014229573084866028,0.016325164087695073,60.86235771922561,3.9996019601295956e-08,38.830383280561364,12,0,65,82,54,31,25,29,1.0
2500279_1150.jpg,NOS_t1,Geert Wilders,happy,7.000404025347962e-05,1.1563971622722408e-11,1.8483194974550088e-07,99.99816417694092,3.758166755574166e-06,4.853832336060293e-08,0.0017606689652893692,11,0,31,42,27,14,15,17,1.0
