Image,Folder,Person,Dominant Emotion,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral,Face X,Face Y,Face Width,Face Height,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Face Confidence,Date,Party,Progressive/Conservative,Left/Right
2488763_4334.jpg,NOS_t1,Caroline van der Plas,happy,0.02167442871723324,0.0022389343939721584,0.1399683183990419,88.26804161071777,2.571151964366436,0.02658652374520898,8.970338106155396,23,2,154,205,139,90,66,78,0.99,,BBB,-42.0,9.0
2488814_4291.jpg,NOS_t1,Caroline van der Plas,happy,0.8864718086404686,0.11159814395222926,0.020795114471937833,75.51241967156051,14.33216269804017,4.9816455443552716e-05,9.136506714612645,1,0,34,42,27,17,10,14,1.0,,BBB,-42.0,9.0
2488823_4282.jpg,NOS_t1,Caroline van der Plas,happy,0.8864718086404686,0.11159814395222926,0.020795114471937833,75.51241967156051,14.33216269804017,4.9816455443552716e-05,9.136506714612645,1,0,34,42,27,17,10,14,1.0,,BBB,-42.0,9.0
2489252_4104.jpg,NOS_t1,Caroline van der Plas,neutral,0.001275817870566243,8.970215890500965e-20,5.988629394062631e-09,0.0008213759009137821,0.00012790702238136385,5.86352222998342e-12,99.99777674661736,2,0,56,89,54,34,37,34,1.0,,BBB,-42.0,9.0
2489745_3935.jpg,NOS_t1,Caroline van der Plas,fear,0.14185388253875866,0.05449093038907232,72.51011565387938,0.7754515853048316,26.112507349998197,0.008078648288066956,0.3975049363824687,8,2,38,48,34,21,16,22,1.0,,BBB,-42.0,9.0
2495013_1772.jpg,NOS_t1,Caroline van der Plas,angry,98.48012328147888,9.588798505211216e-10,0.013141261297278106,0.10943240486085415,1.0268041864037514,7.920714040210441e-06,0.3704959526658058,1,0,40,53,38,22,20,20,1.0,,BBB,-42.0,9.0
2495543_1577.jpg,NOS_t1,Caroline van der Plas,sad,0.4124500103265053,3.123798153156927e-05,0.16544455251512244,0.18664929032843056,80.35661461094705,0.00013305503554865463,18.8786815928627,0,0,46,57,39,23,20,21,1.0,,BBB,-42.0,9.0
2496368_1297.jpg,NOS_t1,Caroline van der Plas,sad,4.1748321294984665,0.018600901932534344,14.209283684577503,0.042788009879304784,79.6987915398131,0.19877629778965739,1.6569210103844392,9,0,34,42,29,12,13,13,0.88,,BBB,-42.0,9.0
2497654_784.jpg,NOS_t1,Caroline van der Plas,angry,63.44955403214049,3.869243908097951e-08,3.8227598282385076,28.803514980850817,3.9187545873219265,0.00014828557874708406,0.005259395139219632,0,0,34,43,29,12,16,15,1.0,,BBB,-42.0,9.0
2497963_696.jpg,NOS_t1,Caroline van der Plas,happy,0.05185843874897793,0.00023655892982219298,29.40904147517187,48.81609692381657,3.2474614533827957,0.0012013922446668546,18.474098327863416,5,3,36,45,32,20,16,20,0.99,,BBB,-42.0,9.0
2497988_689.jpg,NOS_t1,Caroline van der Plas,sad,16.057700342857878,0.09176906826574424,0.21873107459170515,0.06719935555152363,81.78759000153423,0.0029841979914133837,1.7740257336527985,31,1,267,313,206,103,101,137,1.0,,BBB,-42.0,9.0
2498391_548.jpg,NOS_t1,Caroline van der Plas,happy,1.3484709876498968e-09,6.153879654911814e-26,1.2861126009663937e-11,100.0,2.4972062297108936e-13,1.2803554050311305e-08,2.637145612993663e-07,2,0,90,126,81,45,41,50,1.0,,BBB,-42.0,9.0
2498481_529.jpg,NOS_t1,Caroline van der Plas,fear,7.747535407543182,0.0009545921784592792,86.3919734954834,5.416705086827278,0.4075976088643074,0.02526627795305103,0.009971145482268184,6,0,29,35,24,8,12,12,1.0,,BBB,-42.0,9.0
2498625_462.jpg,NOS_t1,Caroline van der Plas,happy,0.02354620082769543,1.4954245524181897e-10,0.00018610739971336443,99.97273087501526,0.0016009551472961903,9.721389915284817e-05,0.0018389364413451403,7,2,31,41,29,16,14,18,1.0,,BBB,-42.0,9.0
2499812_1279.jpg,NOS_t1,Caroline van der Plas,sad,0.00059740268625319,3.002926683356999e-10,2.0104236900806427,0.0008608958523836918,61.997753381729126,0.00035839734664477874,35.9900027513504,33,0,56,89,57,27,35,33,0.99,,BBB,-42.0,9.0
2501591_627.jpg,NOS_t1,Caroline van der Plas,neutral,0.5263973958790302,5.098656856716843e-05,0.27423554565757513,0.010267353354720399,2.310004271566868,0.001739966137392912,96.87730669975281,27,2,60,82,54,30,35,39,1.0,,BBB,-42.0,9.0
2488778_4327.jpg,NOS_t1,Dilan Yesilgöz,happy,1.4679999083000439e-05,3.7418188547633235e-07,0.04975759075023234,68.63093972206116,1.1939475312829018,6.147775621911933e-08,30.125340819358826,19,0,107,136,92,53,43,55,0.99,,VVD,-32.0,50.0
2491173_3338.jpg,NOS_t1,Dilan Yesilgöz,angry,55.40527701377869,0.0021623065549647436,5.742579326033592,0.0010943645065708552,19.33760792016983,0.00667430431349203,19.50460374355316,0,0,58,70,47,28,20,27,1.0,,VVD,-32.0,50.0
2491549_3191.jpg,NOS_t1,Dilan Yesilgöz,neutral,0.0038486345147248358,2.9176115525635497e-17,0.3213456366211176,4.256903807231538e-06,12.145877629518509,4.2026320201671297e-07,87.5289261341095,3,3,39,55,35,23,17,24,0.98,,VVD,-32.0,50.0
2494415_2037.jpg,NOS_t1,Dilan Yesilgöz,fear,0.005846299973200075,6.275833186464297e-08,64.98017311096191,0.008226907812058926,23.802286386489868,0.0010038639629783574,11.202467232942581,8,0,458,541,346,122,145,162,1.0,,VVD,-32.0,50.0
